"auto_id","Weight"
8682,245
8682,228
8682,89
8682,209
8682,27
8682,148
8682,419
8682,221
8682,134
8682,104
8682,37
8682,42
8682,46
8682,46
8682,20
8682,31
8682,11
8682,24
8682,29
8682,17
8682,14
8682,16
8682,12
8682,9
8682,10
8682,20
8682,5
8682,20
8682,12
8682,5
8682,11
8682,6
8682,6
8682,7
8682,7
8682,6
8682,7
8682,6
8682,7
8682,15
8682,7
8682,6
8682,5
8682,5
8525,94
8525,167
8525,78
8525,60
8525,65
8525,189
8525,36
8525,107
8525,58
8525,31
8525,28
8525,38
8525,40
8525,30
8525,17
8525,21
8525,14
8525,20
8525,38
8525,26
8525,51
8525,23
8525,23
8525,19
8525,18
8525,17
8525,12
8525,8
8525,23
8525,16
8525,11
8525,29
8525,10
8525,10
8525,8
8525,13
8525,12
8525,10
8525,13
8525,7
8525,13
8525,7
8525,7
8525,6
8525,5
8525,8
8525,17
8525,7
8525,16
8525,6
8525,9
8525,7
8525,11
8525,10
8525,5
8525,5
8525,5
8525,5
8525,8
8525,6
8525,11
8525,5
8525,6
8525,6
8525,6
8525,7
8525,5
8525,5
8525,5
8525,6
8525,5
8525,6
8525,6
8525,5
8525,5
8699,819
8699,1347
8699,504
8699,105
8699,59
8699,250
8699,149
8699,165
8699,86
8699,79
8699,80
8699,91
8699,60
8699,34
8699,93
8699,18
8699,31
8699,38
8699,9
8699,10
8699,22
8699,24
8699,23
8699,13
8699,14
8699,16
8699,18
8699,7
8699,21
8699,24
8699,8
8699,7
8699,20
8699,20
8699,20
8699,11
8699,16
8699,8
8699,23
8699,8
8699,10
8699,10
8699,5
8699,8
8699,6
8699,8
8699,7
8699,5
8699,5
8699,6
7661,1816
7661,818
7661,296
7661,786
7661,583
7661,436
7661,335
7661,316
7661,211
7661,100
7661,157
7661,89
7661,48
7661,37
7661,51
7661,49
7661,15
7661,24
7661,11
7661,12
7661,8
7661,11
7661,8
7661,7
7661,6
7661,5
7661,7
7661,6
7661,8
7661,11
7673,960
7673,570
7673,367
7673,368
7673,79
7673,105
7673,77
7673,144
7673,90
7673,98
7673,91
7673,16
7673,35
7673,53
7673,39
7673,33
7673,27
7673,18
7673,38
7673,20
7673,26
7673,31
7673,13
7673,32
7673,21
7673,19
7673,22
7673,10
7673,11
7673,13
7673,18
7673,10
7673,13
7673,35
7673,17
7673,12
7673,10
7673,10
7673,15
7673,14
7673,13
7673,14
7673,7
7673,14
7673,21
7673,10
7673,12
7673,7
7673,7
7673,8
7673,11
7673,9
7673,6
7673,8
7673,7
7673,7
7673,6
7673,7
7673,5
7673,8
7673,5
7673,6
7673,10
7673,10
7673,6
7673,7
7673,5
7673,6
7673,6
7673,5
7673,6
7673,7
7673,6
8644,407
8644,250
8644,674
8644,140
8644,68
8644,45
8644,29
8644,43
8644,48
8644,19
8644,10
8644,26
8644,30
8644,29
8644,18
8644,21
8644,27
8644,31
8644,22
8644,15
8644,12
8644,8
8644,18
8644,16
8644,20
8644,12
8644,7
8644,14
8644,15
8644,7
8644,5
8644,13
8644,9
8644,11
8644,6
8644,10
8644,12
8644,9
8644,7
8644,7
8644,8
8644,5
8644,31
8644,9
8644,7
8644,6
8644,5
8644,5
8644,5
8644,5
8644,5
8644,5
7663,264
7663,72
7663,386
7663,347
7663,209
7663,99
7663,118
7663,76
7663,74
7663,46
7663,32
7663,33
7663,97
7663,165
7663,42
7663,16
7663,28
7663,36
7663,63
7663,21
7663,36
7663,33
7663,50
7663,101
7663,24
7663,31
7663,36
7663,24
7663,32
7663,14
7663,26
7663,22
7663,17
7663,38
7663,25
7663,17
7663,16
7663,14
7663,0
7663,5
7663,16
7663,15
7663,14
7663,9
7663,15
7663,13
7663,12
7663,6
7663,9
7663,10
7663,6
7663,9
7663,9
7663,10
7663,12
7663,9
7663,11
7663,12
7663,11
7663,16
7663,7
7663,14
7663,11
7663,21
7663,6
7663,8
7663,10
7663,7
7663,11
7663,7
7663,10
7663,8
7663,5
7663,6
7663,6
7663,7
7663,6
7663,7
7663,5
7663,8
7663,9
7663,5
7663,9
7663,5
7663,5
7650,191
7650,101
7650,158
7650,148
7650,82
7650,165
7650,58
7650,31
7650,38
7650,66
7650,39
7650,20
7650,22
7650,60
7650,24
7650,27
7650,28
7650,18
7650,25
7650,17
7650,35
7650,25
7650,26
7650,11
7650,18
7650,9
7650,11
7650,22
7650,20
7650,9
7650,10
7650,9
7650,19
7650,14
7650,11
7650,16
7650,12
7650,15
7650,10
7650,20
7650,6
7650,9
7650,15
7650,5
7650,18
7650,14
7650,14
7650,12
7650,24
7650,10
7650,8
7650,5
7650,10
