"auto_id","Unit","ID","DATACLASS","RAWMAT","SUPPORT","TECHNIQUE","FORM","FBTYPE1","FBTYPE2","CORETYPE","BIFTYPE","NORETEDGE","RETINT","T-FCHAR","T-FSURF","T-FLOC","PLATSURF","EXTPLAT","FACES","PLATFORMS","PLATTEC1","PLATTEC2","SCARMORPH","RETEDGE","CORTEX","DISCARD","EDGEDAMAGE","ALTERATION","PROXSCARS","SCARLENGTH","LENGTH","TQWIDTH","TQTHICK","MIDWIDTH","MIDTHICK","TIPWIDTH","WIDTH","LENTOWID","THICK","LENTOTHICK","ROEW1","ROET1","ROEW3","ROET3","PLATWIDTH","PLATTHICK","SMALLPW","BULB","EPA","WEIGHT"
10891,"F27",88,"COMPFLAKE","LOCALFLINT","FLAKE","NORMAL","BLADE",-9999,-9999," ",NA,0,""," "," "," ","PLAIN","CENT-RIDGE",NA,"","","","",NA,"1-10%"," ","EXT/INT","UNALTERED",0,-9999,40.285,-9999,-9999,-9999,-9999,-9999,21.675,-9999,7.345,-9999,-9999,-9999,-9999,-9999,19.025,8.29,-9999,-9999,65,8
10792,"H27",188,"COMPFLAKE","LOCALFLINT","FLAKE","NORMAL","ANGULAR",48,-9999," ",NA,0,""," "," "," ","PLAIN","CONVEX",NA,"","","","",NA,"10-40%"," ","EXTERIOR","",0,-9999,68.815,-9999,-9999,-9999,-9999,-9999,25.67,-9999,13.395,-9999,-9999,-9999,-9999,-9999,14.735,5.115,-9999,-9999,76,32
5657,"E29",138,"COMPFLAKE","LOCALFLINT","FLAKE","NORMAL","NORMAL",-9999,-9999," ",NA,0,""," "," "," ","CORTICAL","",NA,"","","","PLAIN",NA,"10-40%"," ","NONE","UNALTERED",0,-9999,33.39,-9999,-9999,-9999,-9999,-9999,23.37,-9999,4.635,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6
10856,"E27",220,"COMPFLAKE","","FLAKE","NORMAL","NORMAL",48,-9999," ",NA,0,""," "," "," ","PLAIN","STRAIGHT",NA,"","","","",NA,"0%"," ","EXT/INT","HEAVYPATIN",0,-9999,14.31,-9999,-9999,-9999,-9999,-9999,23.25,-9999,4.65,-9999,-9999,-9999,-9999,-9999,19,4.835,-9999,-9999,-9999,1
10835,"G28",658,"PROXFLAKE","LOCALFLINT","FLAKE","NORMAL","NORMAL",-9999,-9999," ",NA,0,""," "," "," ","DIHEDRAL","SIDE-RIDGE",NA,"","","","PLAIN",NA,"1-10%"," ","EXT/INT","UNALTERED",0,-9999,39.52,-9999,-9999,-9999,-9999,-9999,30.91,-9999,6.38,-9999,-9999,-9999,-9999,-9999,25.615,7.055,-9999,-9999,-9999,10
10789,"E29",741,"COMPFLAKE","LOCALFLINT","FLAKE","NORMAL","BLADE",48,-9999," ",NA,0,""," "," "," ","CHAPGEND","CENT-RIDGE",NA,"","","","OTHER",NA,"40-60%"," ","EXT/INT","",0,-9999,52.645,-9999,-9999,-9999,-9999,-9999,19.095,-9999,9.81,-9999,-9999,-9999,-9999,-9999,16.895,4.81,-9999,-9999,106,16
10882,"H27",207,"COMPFLAKE","OTHERFLINT","FLAKE","NORMAL","NORMAL",-9999,-9999," ",NA,0,""," "," "," ","PLAIN","CONVEX",NA,"","","","PLAIN",NA,"90-99%"," ","EXT/INT","",0,-9999,55.67,-9999,-9999,-9999,-9999,-9999,27.77,-9999,9.01,-9999,-9999,-9999,-9999,-9999,18.56,5.945,-9999,-9999,90,37
10896,"H27",214,"PROXFLAKE","","FLAKE","NORMAL","ANGULAR",-9999,-9999," ",NA,0,""," "," "," ","PLAIN","CONVEX",NA,"","","","",NA,""," ","EXTERIOR","",0,-9999,30.46,-9999,-9999,-9999,-9999,-9999,23.035,-9999,7.37,-9999,-9999,-9999,-9999,-9999,18.63,10.405,-9999,-9999,-9999,11
10723,"E29",728,"COMPFLAKE","JASPER","FLAKE","NORMAL","NORMAL",-9999,-9999," ",NA,0,""," "," "," ","PLAIN","CONVEX",NA,"","","","RADIAL",NA,"0%"," ","EXTERIOR","UNALTERED",0,-9999,36.165,-9999,-9999,-9999,-9999,-9999,34.04,-9999,7.085,-9999,-9999,-9999,-9999,-9999,24.2,8.895,-9999,-9999,78,11
10661,"F29",583,"COMPFLAKE","OTHERFLINT","FLAKE","NORMAL","EXPANDING",-9999,-9999," ",NA,0,""," "," "," ","PLAIN","CONCAVE",NA,"","","","",NA,"60-90%"," ","EXT/INT","UNALTERED",0,-9999,33.74,-9999,-9999,-9999,-9999,-9999,23.795,-9999,13.25,-9999,-9999,-9999,-9999,-9999,27,5.5,-9999,-9999,-9999,15
10665,"F29",584,"PROXFLAKE","OTHERFLINT","FLAKE","NORMAL","OTHER",-9999,-9999," ",NA,0,""," "," "," ","FACETED","CONVEX",NA,"","","","",NA,"10-40%"," ","","",0,-9999,53.085,-9999,-9999,-9999,-9999,-9999,48.5,-9999,7.395,-9999,-9999,-9999,-9999,-9999,37.045,9.94,-9999,-9999,-9999,34
10798,"F29",612,"COMPFLAKE","OTHERFLINT","FLAKE","NORMAL","NORMAL",-9999,-9999," ",NA,0,""," "," "," ","PLAIN","CONCAVE",NA,"","","","",NA,"0%"," ","EXT/INT","HEAVYPATIN",0,-9999,29.92,-9999,-9999,-9999,-9999,-9999,26.595,-9999,5.345,-9999,-9999,-9999,-9999,-9999,18.575,2.82,-9999,-9999,-9999,4
10672,"F29",589,"COMPFLAKE","","FLAKE","NORMAL","NORMAL",-9999,-9999," ",NA,0,""," "," "," ","PLAIN","CONVEX",NA,"","","","",NA,"60-90%"," ","NONE","",0,-9999,45.095,-9999,-9999,-9999,-9999,-9999,31.395,-9999,9.22,-9999,-9999,-9999,-9999,-9999,11.32,5.805,-9999,-9999,-9999,20
10787,"F29",611,"COMPFLAKE","LOCALFLINT","FLAKE","NORMAL","OTHER",-9999,-9999," ",NA,0,""," "," "," ","PLAIN","CONVEX",NA,"","","","PLAIN",NA,"90-99%"," ","EXTERIOR","UNALTERED",0,-9999,80.93,-9999,-9999,-9999,-9999,-9999,31.17,-9999,15.265,-9999,-9999,-9999,-9999,-9999,15.555,12.33,-9999,-9999,-9999,75
10823,"I27",68,"COMPFLAKE","LOCALFLINT","FLAKE","NORMAL","NORMAL",48,-9999," ",NA,0,""," "," "," ","PLAIN","CONVEX",NA,"","","","PLAIN",NA,"100%"," ","EXT/INT","UNALTERED",0,-9999,75.31,-9999,-9999,-9999,-9999,-9999,39.115,-9999,9.2,-9999,-9999,-9999,-9999,-9999,20.37,8.845,-9999,-9999,-9999,73
10793,"E29",742,"COMPTOOL","LOCALFLINT","FLAKE","NORMAL","ANGULAR",10,-9999," ",NA,1,"","NONE"," "," ","PLAIN","CENT-RIDGE",NA,"","","","",NA,"0%"," ","EXT/INT","",0,-9999,60.705,-9999,-9999,-9999,-9999,-9999,31.735,-9999,9.215,-9999,-9999,-9999,-9999,-9999,24.68,6.53,-9999,-9999,-9999,38
10825,"H27",194,"COMPFLAKE","LOCALFLINT","FLAKE","NORMAL","ANGULAR",48,-9999," ",NA,0,""," "," "," ","CORTICAL","",NA,"","","","",NA,"10-40%"," ","EXT/INT","UNALTERED",0,-9999,50.495,-9999,-9999,-9999,-9999,-9999,34.465,-9999,14.295,-9999,-9999,-9999,-9999,-9999,25.015,-9999,-9999,-9999,-9999,37
